,№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
0,1,Liverpool,31,23,7,1,70,18,76,65.85-4.15,23.04+5.04,69.26-6.74
1,2,Manchester City,30,24,2,4,79,21,74,76.75-2.25,21.68+0.68,71.82-2.18
2,3,Tottenham,30,20,1,9,57,32,61,50.19-6.81,39.01+7.01,49.50-11.50
3,4,Arsenal,30,18,6,6,63,39,60,52.96-10.04,42.57+3.57,48.33-11.67
4,5,Manchester United,30,17,7,6,58,40,58,56.23-1.77,41.74+1.74,49.76-8.24
5,6,Chelsea,30,17,6,7,50,33,57,48.52-1.48,31.91-1.09,54.33-2.67
6,7,Wolverhampton Wanderers,30,12,8,10,38,36,44,41.36+3.36,32.11-3.89,47.68+3.68
7,8,Watford,30,12,7,11,42,44,43,41.07-0.93,45.31+1.31,40.04-2.96
8,9,West Ham,31,12,6,13,41,46,42,38.42-2.58,53.44+7.44,35.16-6.84
9,10,Leicester,31,12,5,14,40,43,41,40.36+0.36,36.96-6.04,45.10+4.10
10,11,Everton,31,11,7,13,43,42,40,40.72-2.28,45.43+3.43,39.33-0.67
11,12,Bournemouth,31,11,5,15,43,56,38,44.46+1.46,50.01-5.99,40.84+2.84
12,13,Newcastle United,31,9,8,14,31,40,35,33.05+2.05,50.19+10.19,30.55-4.45
13,14,Crystal Palace,30,9,6,15,36,41,33,38.51+2.51,39.41-1.59,41.34+8.34
14,15,Brighton,29,9,6,14,32,42,33,31.27-0.73,46.26+4.26,29.93-3.07
15,16,Southampton,30,7,9,14,34,50,30,36.78+2.78,48.08-1.92,33.62+3.62
16,17,Burnley,31,8,6,17,35,59,30,36.85+1.85,55.37-3.63,34.27+4.27
17,18,Cardiff,30,8,4,18,27,57,28,34.05+7.05,50.81-6.19,30.55+2.55
18,19,Fulham,31,4,5,22,29,70,17,34.17+5.17,60.38-9.62,27.35+10.35
19,20,Huddersfield,31,3,5,23,18,57,14,22.62+4.62,50.45-6.55,25.49+11.49
